Nama Pengguna,Rating,Ulasan,Tanggal
Guy Da Gama,5,amazing,2025-11-20 12.44.33
Bunga Melati,4,"hai salkeun sadayana klo dari saya ini mah yaa yaitu MB nya kurangin dikit & pas post video atau foto suka ada 𝘆𝗮𝗻𝗴 𝗮𝗻𝗲𝗵 padahal udah ke Fost tapi kok kadang"" gak ada?..... DAN 𝙨𝙖𝙮𝙖 𝙠𝙖𝙨𝙞𝙝 𝙗𝙞𝙣𝙩𝙖𝙣𝙜 4 𝙙𝙪𝙡𝙪 𝙮𝙖𝙖 𝙢𝙤𝙝𝙤𝙣 𝙢𝙖𝙖𝙛 𝙟𝙞𝙠𝙖 𝙖𝙙𝙖 𝙮𝙖𝙣𝙜 𝙨𝙖𝙡𝙖𝙝 𝙙𝙖𝙧𝙞 𝙥𝙚𝙨𝙖𝙣 𝙨𝙖𝙮𝙖.. ٩🥲۶ ٩🥲۶ ٩🥲۶",2025-11-19 22.07.54
Sempre Aprende,5,sangat puas,2025-11-19 17.17.57
Novi Maya,5,mengapa akun tiktok saya ada masalah,2025-11-18 10.38.03
Simplicio Da Costa,5,saya suka banggat,2025-11-18 04.44.02
Hendrik Neno,5,bagus,2025-11-18 03.30.10
Sandyofficial Noronha,5,de best banget da pokonya,2025-11-17 09.58.52
Msi Jso,5,عع,2025-11-16 20.57.31
Sekar Sekar,5,menyenangkan,2025-11-16 18.40.56
Eni Rohaeni,5,Bagus,2025-11-16 05.41.18
Anita M. Leite,5,saya ngk bisa live dulu bisa sekarang tidak bisa,2025-11-15 12.31.54
Faizal Bahri,1,cewe aku ngirim gambar gabisa dibuka,2025-11-15 12.06.24
keinr,1,gaje,2025-11-15 11.44.40
Errell Kaivin,1,tll apk gjls sllu aj ngecrash bego,2025-11-15 09.56.38
Angeli Sudarman,5,nice,2025-11-14 12.55.25
wahyu kalem,1,"tiktok sekarang tidak baik"", karena waktu kita melakukan live selalu dapat pelanggaran, tolong perbaiki layanan tiktoknya",2025-11-13 20.36.01
Ghozi Alfarros,1,kandang monyet,2025-11-13 18.07.17
Mujianto Aji,5,mantapp,2025-11-13 14.59.32
Martinho Salay,5,TiK Tok,2025-11-12 11.36.21
Resia Vidigal,5,bagus Bangat,2025-11-12 10.04.09
Rony Carion,5,aplikasi yang sangat bagus,2025-11-11 11.07.18
Rosid Taipan,5,mantap,2025-11-11 06.53.55
Juvi Almeida,5,"Eu gosto deste aplicativo, ele é muito útil e me diverte.",2025-11-11 06.28.19
abdullah bahri,1,mengapa fyp saya tidak bisa di ganti ke Indonesia dan sudah saya ikuti saran² tik tok tetapi tidak ada hasil,2025-11-10 12.14.17
Edi Saswano,5,tiktok ini sangat bagus bisa membantu dalam berbagai bidang usaha,2025-11-10 09.11.07
Fortunato Gomes,4,sangan menghibur,2025-11-10 02.50.23
Sonia De deus fatima,5,lancarkan jaringa saya plis,2025-11-10 01.14.58
Bujang Hardiyanto,5,oke,2025-11-09 15.27.11
Waseem Waseem,5,وسیم,2025-11-08 16.33.43
Paulino,5,saya sangat senang dengan aplikasi ini,2025-11-08 10.08.58
Carissa Santos,5,Aplikasi ini sangat bagus,2025-11-08 06.29.16
Ana Salon hair n beauty treatment,1,Tik tok jelek burik,2025-11-08 03.52.16
maruli mansyah,5,sangat bagus sekali,2025-11-07 16.50.50
Nycho Soarez,5,bikin aku jadi terkenall Dan Kenall sama banyak orang,2025-11-07 08.06.44
Carlorloto Soares,5,aplikasi tiktok ini bagus dan menarik👍,2025-11-07 02.10.10
Filomena Marcal,5,aplicasi ini bagus karna bisa dens trimacasy💟,2025-11-07 01.43.37
Maria Imaculada correia,5,ko aplikasi tiktok saya nggak bisa live ya,2025-11-07 01.32.33
Melita monterio de Jesus,5,aku suka bagat😚💐,2025-11-07 00.15.58
Estefania Viana estefania,5,aku suka sama apk nya karna menhibur jiwa introver aku karna aku kan aga malu ya kalo keluar rumah jadi foto danlot eh mala bagus,2025-11-06 23.23.41
Arsenio Arsel,4,kenapa di apk tiktok saya tdk ada templat capcut Dan kenapa saya tdk bisa mengambil templat capcut di apk tiktok,2025-11-06 11.09.44
Fani Asma,5,sangat bermanfaat,2025-11-04 15.31.22
Arzun Azuna,5,kenapa tidak ada orang yang melihat akun saya,2025-11-04 10.45.44
Paiqhu Sean,5,good,2025-11-04 10.13.12
Diana Bramono,5,Aplikasi yang sangat menghibur dan penuh wawasan dengan banyak kejadian viral bisa live untuk silaturahmi meski kita berbeda daerah bahkan beda negara pokokek Asyeeeek pooollll THANKS MY APLIKASI,2025-11-04 05.52.51
Putra,5,kerja bagus,2025-11-03 18.49.42
Santi Asanti,5,keren banget 👌👍👍,2025-11-03 16.16.03
Lina Ajah,5,Bagus banget ✔️✔️✔️,2025-11-03 02.08.59
Rianto,5,bagus,2025-11-02 22.54.01
Delio Santos Soares Da Costa,4,good Apk,2025-11-02 18.50.39
Amelia Mendonca,4,like,2025-11-02 16.59.26
Armando Alves,5,suka saja,2025-11-02 00.33.56
Hendro Setiawan,5,oke sangat hebat,2025-11-01 16.20.42
Eldita Baptista,5,in the best,2025-11-01 11.09.16
Olivia aurelia,5,"tolonglah aku sering perbaiki Tiktok,kenapa aku tidak bisa mengakses live, tolong ya agar saya bisa live",2025-11-01 04.52.48
Dina Nyenye,5,bagus,2025-11-01 03.01.45
Julia Ngei,5,manatap,2025-10-31 13.07.06
Herman Yuda,5,Ok,2025-10-30 22.29.37
Teresa Mcquien,1,"Saat Buat Postingan Dalam Bentuk Teks Atau Tulisan , Jangan Terlalu Sedikit Batas Huruf Nya . Buat Jadi Minimal 2500 & Maksimal 5000 Huruf Begitu Begitu . Saya Jadi Susah Mau Posting Untuk Memberi Informasi Rinci Yang Lengkap & Akurat 😮‍💨",2025-10-29 23.41.00
Syahriwal,5,syahriwal 09,2025-10-29 17.35.54
Meri Liyana,5,goood,2025-10-29 05.42.37
Reni Jajang Etis,3,bagus,2025-10-28 21.13.58
Milton Brito,5,banyak kreatifitas yang di pelajari di aplikasi ini saya suka.,2025-10-28 12.13.32
Josef Sdcm,5,good,2025-10-28 05.20.46
Gil Nunes,3,kenapa saya tidak bisa buka live ditanguhkan,2025-10-28 04.13.12
Rivaldo Santos,5,aplikasi nya bagus cuman mungkin bisa dihapus limit buat ngikutin orang lain soalnya aku udah sampe limit dan tidk bisa lagi ikuti akun orang lain jadi sarang ku cuman itu sih buat hapus limit buat ikuti orang,2025-10-28 02.39.35
let's see knew,5,zakir,2025-10-27 15.41.02
AJE Mesak,5,Sangat baik,2025-10-27 10.25.02
Ajino Cl,5,Bagus👍🙏,2025-10-27 09.44.46
Carsiah Carsiah,5,sangat baik,2025-10-27 09.36.20
piero dasilva,5,CiNTHyA,2025-10-27 05.16.48
Matcho Svn,5,Sangat bagus,2025-10-26 17.33.41
Hiyat El 10,5,Jelek banget aplikasinya gak bisa buat live,2025-10-26 15.20.20
acau alves,5,Keren,2025-10-26 03.48.45
Fatma Ainun,4,good,2025-10-26 00.30.13
Darliah Liah,5,sangat bagus,2025-10-24 22.15.17
enzemarmalik araujo,5,"aplikasi ini baik digunakan,,",2025-10-24 04.51.48
Enty Forever,5,Tolong jangan pernah menjekkan tiktok saya. ya🙏,2025-10-23 09.06.50
Wardana Wardana,5,"saya sangat menyukai tiktok ini,karna banyak video yg bagus",2025-10-23 06.18.24
JAYDEN AIDEN,5,👍👍👍👍👍👍👍,2025-10-22 16.19.40
Johan Holim,4,"apk bagus penghilang stress, tapi saya belum bisa komen pakai foto",2025-10-22 13.50.56
Edmilson Gon,3,userlabomunize,2025-10-22 05.53.42
Asete Jabarin,1,FERDI GRENADA AJA DEH BIAR ADIL KOK MALAH BIKIN TAMBAH GANTENG AJA DEH KALO GUE JUGA BINGUNG NIH ANAK GAUL BANGET JSVJ HSUVDJ HVISK,2025-10-22 04.15.04
Graziela Monteiro,5,Sangat menyenangkan,2025-10-22 02.40.33
Bayuprasetia Bayuprasetia,1,"tiktok nya aneh udah masuk mlh keluar ke luar lagii ,,anehhh",2025-10-21 13.43.08
ResquiBarreto Varela,5,😎😋😍,2025-10-21 11.03.05
Domingos Da gloria,5,Aplikasi sangat membantu,2025-10-21 05.43.14
Denilson Antonio da Costa Soares,5,Ok,2025-10-21 03.07.44
Julião Fernandes Guterres (Jufer),5,baik... perlu fitur baru,2025-10-21 01.59.06
Mamah Irfan,5,keren menghibur,2025-10-20 20.07.08
Yani Caryani,3,saya suka main tiktok dulunya bisa ambil hadiahnya sekarang malah gak bisa karena akun saya dibatasi saya udah coba pake cara apa pun ttp aja gak bisa coba saya akan beri bintang 3 bisa klaim hadiah lagi apa gak makasih🙏,2025-10-20 19.03.07
OLivio Cardoso da costa Livio,5,M RATHE,2025-10-20 08.17.30
Aveiro Santos,5,Aplikasi penurunan iq,2025-10-20 04.56.53
Timoor Lesteee,3,saya tidak bisa membuat live di hp Android,2025-10-19 22.50.50
Jayadi Muhammad,5,bagus,2025-10-19 15.43.14
Ms Maya,3,"dengan adanya aplikasi Tik tok ini saya bisa terhibur, apalagi sebagai TKW Yg butuh hiburan,biar gak jenuh Yg penting tau' batasan, terimakasih Tik tok",2025-10-19 13.41.56
Aulia Ian,5,nice,2025-10-19 13.21.21
Ren Sany,5,bagus,2025-10-18 06.34.14
Novania Gama,5,wow,2025-10-18 04.03.10
Marry Jane,1,"kesel banget versi pc , kotak giftnya gak mau ilang",2025-10-18 03.57.45
opang huu,1,Tiktok shop sangat berat dan tidak ada perbaikan,2025-10-18 01.26.45
Dynhu salsina Dynhu,5,Dinho slsinhq,2025-10-17 23.19.28
ananias Barreto,5,untuk di download di sini adalah salah satu dari mereka yang tidak bisa di download di sini adalah salah satu dari mereka yang tidak bisa di,2025-10-17 12.57.50
sell Selfy,5,Aku mau nya masuk cepat dongg tiktok nya,2025-10-17 11.13.37
For You,1,Kenpa ya aku dah download bekali kali kok gak bisa coba kasih tau aku...,2025-10-17 09.24.12
Nelviana Hornai,5,Good,2025-10-16 15.57.21
Ka Jhess,4,Sngat bgus,2025-10-16 15.32.18
Akholi Gomes,5,ok,2025-10-16 08.48.22
Nazaré Xavier da costa,5,Sangat Baguss,2025-10-15 18.48.35
Junior domi soares,5,perbaiki Tik tok life ini mohon masalah mengukiti orang tidak bisah ini,2025-10-15 17.54.23
Laek Goncalves,5,josefia,2025-10-15 15.13.55
Farida Ida,5,very good,2025-10-15 12.30.49
Fidel Jesus,5,sangat berguna sekali untuk saya yang merasa bosan 🤩,2025-10-15 11.05.09
Irene Da costa,5,the best,2025-10-15 06.44.31
Sahril Akbar,1,akun lama aku tidak bisa login d hp baru,2025-10-14 17.40.00
Marcio Da costa,5,🤙🏻,2025-10-13 13.11.01
Eko Lanu,5,koh saya tidak bisa live padahal udah 1rb foloweres,2025-10-13 01.09.37
Ni Wayan Septi Andayani,1,karna tiktok ku orang Rusia semua,2025-10-12 17.32.05
Atik Istiqomah,5,Mencari Wawasan lewat Aplikasi Tik Tok,2025-10-12 05.29.22
Carmo Carmona,5,carmocarmona,2025-10-12 04.51.57
Mus Tahik,5,kenapa saya noton live selalu putus putus,2025-10-11 19.45.35
Ni Luh Budi Antarini,1,kenapa aplikasi tiktok saya tidak bisa upload foto/vidio sudah hampir 2 bulan tidak bisa...,2025-10-11 14.29.02
Muhammad Azwanto,1,pas orang ngerokok di kasi peringatan di ban akunnya giliran orang live bugil malah gk di beri apa2 emang mesum ni Tik tok bbo cuih,2025-10-11 10.52.23
denian hikayat,3,bagus,2025-10-11 05.21.16
Didik Nanda,5,banyak cantik,2025-10-11 02.21.46
Supri yadi,5,😊🥰,2025-10-10 11.41.59
Erick Reyes,5,sangat suka,2025-10-08 12.33.31
Chalara Shansabilla,4,b aj,2025-10-08 11.32.01
Valdo Madeira,5,cool,2025-10-08 04.45.48
rikel gusmao,5,♥️,2025-10-08 04.14.50
Uti Maryam,5,emmm,2025-10-06 19.52.20
Nunes Dizanove,5,Good,2025-10-06 13.11.22
karyono strada,5,bagus & mantap,2025-10-06 11.01.15
Mega Jafar,5,kenapa saya tidak bisa beli koin di tiktok pakai pulsa.kalau saya beli selalu muncul tulisan google bermasalah mohon penjelasannya,2025-10-06 10.51.44
Tome Costacosta,5,Download aplikasi tidak,2025-10-05 10.08.50
Aimar Gomes,5,baik,2025-10-05 08.53.18
Canisio Xavier,5,Baik untuk digunakan,2025-10-05 03.21.42
Saira Apdulrahman,1,tidak puas sekali.sekrng klau live aplikasi tiktok selalu saja tidak menanggapi..? saya kasi bintang satu dlu klau ada perubahan akan saya kasi bintang 5.,2025-10-04 14.24.36
mjzidan Asm,5,Terimakasih kepada Tiktok selalu buat kami Bahagia sekali lagi Terimakasih,2025-10-04 09.37.42
Sahidi Sh,5,good MashaAllah,2025-10-04 08.59.34
Lelilson Gamboa,5,Terbaik,2025-10-04 04.49.34
Paw Fahz,1,"Aplikasi tiktok kenapa tidak bisa di klik, tidak bisa di buka????",2025-10-03 19.24.15
Estalita Guedrudis,5,saya sudah bermain tiktok pada tahun2022,2025-10-03 15.58.17
Kamil Ridwan,5,semoga berkah semakin jaya tiktok ya bisa bust aku cari cuan,2025-10-03 15.55.49
Dinda Xhytaa,5,saya suka sekali dengan tiktok karna jika video yang kita inginkan akan muncul dan sama,2025-10-03 12.54.00
Nina Marlina,5,semoga tiktok saya bisa berkembang usaha nngonten live di tiktok hanya saja tidak bisa dibayar melalui bank kartu Indonesia bisa narik TK bisa membayar.,2025-10-03 10.35.11
Madalena Ximenes,5,arudyarudy,2025-10-03 04.29.44
Egy Lopes,5,sangat bagus sekali,2025-10-02 17.01.41
Domingos Rosario martins cepeda,5,bagus sekali dan seruh sekali 😀 saia senag sekali tanks,2025-10-02 12.00.01
Khaerul anwar (Gogo),4,Bismillah... insyaallah lebih baik Lagi (TikTok),2025-10-02 11.50.57
Girlband Girlband,5,bagus sekali,2025-10-02 02.21.43
Upas Wada,5,Sangat bagus buat hiburan,2025-10-01 14.34.46
Teotonio Sipa,5,Teo sipa,2025-10-01 02.16.38
Ryy Gomes,5,bagus,2025-10-01 01.22.47
Epifánia Heidi da Costa,5,bagus,2025-09-30 22.24.17
Alfiyah Hasan,5,bagus dan lebih mudah dan durasi nya pun tidak panjang,2025-09-30 15.16.23
Hermenegildo s Conceicao belo,5,bagus,2025-09-29 16.16.57
Matilda da cruz,5,sangat menghibur,2025-09-29 14.45.04
Wasis Andis,1,tiktok ngelag terus,2025-09-29 10.53.57
Fidel Neves,5,Bagus Bangat...,2025-09-29 04.19.18
Eva Moreira,5,"sangat menghibur,,",2025-09-29 02.55.46
"TITO ,XIMA",5,Aku suka apk ini karana aku merasa seperti aesthetic.🙃🙂,2025-09-28 20.03.51
Jenildo Gusmao,3,apk nya seperti error kan saya sedang menonton g video di tiktok tapi kenapa setelah saya keluar dari apk TikToknya suara videonya tetap ada padahal saya sudah keluar dari aplikasi TikTok anehh bangat.,2025-09-28 17.28.04
Marwati Smi,5,alhamdulilah semenyjang saya punya akun tiktik saya merasa puas bangen ber belanyja atow lihat2 yang laennya sangat puas bangen terimakasih tiktok,2025-09-28 17.22.20
Dam Am,5,mantap,2025-09-28 11.33.41
Js Randi,5,seru banget,2025-09-28 09.36.14
Amagay Jhyter art,5,bagus,2025-09-28 07.25.57
Jhee Assis,5,🤍,2025-09-28 05.51.17
Símãø Pêdrø,5,tiktok bagus sekali,2025-09-28 05.25.05
Oliverio Campos,5,Perfect ))©®7,2025-09-28 03.57.28
Depa Depari,4,"lumayan bagus buat apk nya, tapi gabisa liat fitur komen foto",2025-09-27 17.13.49
Yu Ni,1,tkw malaysia,2025-09-26 23.53.07
Juragan Lauk,5,SANGAT MEBANTU&MENAMBAH PENGALAMAN,2025-09-26 14.44.17
ani vero,1,knp tiktok sya dah dua hri in gx bisa dibuka,2025-09-26 14.40.40
Mozha Silva,5,i love you tiktok,2025-09-26 10.47.52
Domingas P. Guterres,3,Tiktotnya bagus,2025-09-25 15.07.27
Ilhamdi Naila,1,"memang smakin babi tik tok ini,udah lemot di update pun ngabisin kuota bangke",2025-09-25 13.02.49
Ezu Nandes,5,ok bagus,2025-09-25 12.23.03
Cahaya Cinta,2,"To bad ,How come cannot use ?",2025-09-25 07.15.23
Litu Fortela,5,sangat cocok untuk saya Bagus seklai,2025-09-25 04.43.36
Mrayhan,5,bagus sekali,2025-09-24 21.44.12
关东煮,1,不给中国人用,2025-09-24 10.50.32
Lito Lito,5,tolonglah perbaikan titko,2025-09-24 04.46.37
anacleto guterres,5,bagus,2025-09-23 01.50.28
Hermenegildo Soares,5,Jo abia,2025-09-22 11.00.36
Timor Leste,5,bagus,2025-09-22 08.13.06
Nelson Da Cruz,5,Son,2025-09-21 19.29.18
Minarti Aini,1,"semakin di upgade semakin merajalela peringatannya,saya komen sedikit"" di kasih peringatan padahal saya berkomentar SOPAN",2025-09-21 17.25.12
Teresinha Santos,5,gguv.,2025-09-21 12.58.08
AFoNSo DaSiLvA,5,🌺♥️💋💐,2025-09-21 10.22.37
Nur Sidqi Prihantono,5,good,2025-09-21 09.41.53
Ary Arafah,1,"bug mulu gabisa dibuka,udah puluhan kali instal ulang gara"" bug gabisa dibuka,dev nya cuek ngaco bug gini aja gabisa dibenerin payah👎🤡",2025-09-20 20.42.20
Francisco Correia,5,saya suka dengan Aplikasi ini sangat bermanfaat sekali,2025-09-20 19.12.01
Ela gaby,5,sangat bagus,2025-09-20 14.04.06
Hamid Rahman,5,7y u,2025-09-20 12.43.11
Dionisia Da Conceicao,5,sangat bagus,2025-09-20 12.06.11
Noora Noora,5,bagus,2025-09-19 17.41.14
Hj kato Kato hj,1,tiktok aku tidak bisa terbuka,2025-09-19 16.08.01
Nenk Neti,5,Dengan tiktok aku tidak lagi stres dalam kerja,2025-09-19 14.34.00
Marta Devhy,1,kenpa tiktok tidak bisa kebuka,2025-09-19 13.49.17
Marco Freitas,5,Bagus ...,2025-09-19 13.39.36
Nanni,5,bagus,2025-09-18 10.24.33
Nelio Costa,5,tiktok masih yang terbaik,2025-09-18 09.59.53
Adam Jihan2025,5,good,2025-09-18 05.08.41
Arsih Dah,5,luar biasa,2025-09-17 22.43.43
Rahayu lia,5,sangat memuaskan,2025-09-17 22.20.38
kabiru ibrahim,5,Abdulwahab adamu,2025-09-17 21.13.46
fone yuni,1,"tiktok tidak berguna kalau mau ke tiktok tidak bisa katanya kesalahan jaringan padahal jaringannya baik"" ajah",2025-09-17 15.05.48
Khotijah Nursin,5,bagus sekali,2025-09-17 07.44.18
Martyn lay Barreto,5,tiktok sangat keren,2025-09-17 05.05.38
Pengguna Google,5,Razaqmallha,2025-09-16 20.38.29
Flaviano Bosco,5,bagus sekali,2025-09-16 17.48.22
Raquela Ramozia,5,Tiktok the best,2025-09-16 10.42.04
Dedi Tamara,5,😍🤩🥳,2025-09-16 08.50.04
Anisia Azifo Reinha,5,banyak orang yang paling sering ditemukan,2025-09-16 00.23.57
renmas,3,"bagus, cuman pas refresh fyp tuh kayak ga bekerja, ga seru semua anjj mana semua vt bahasa spanyol gjelas semua, gw maunya tuh yg trending di indo kyk velocity, meme, core dll gitu, bukan kek gitu anj, gw udah mencet tak tertarik berkali2 ga mempan2 jing, ga seru nih tiktod🫩🤢",2025-09-15 09.36.29
Lidia Eliza Martins gama,5,the beat,2025-09-14 07.56.02
md alal785,5,TikToik ok,2025-09-13 21.46.42
Gabe Gultom,1,mengapa akun saya tiba tiba tidak bisa log in.sudah diilapor dan masih aja tidak bida log in,2025-09-13 17.25.35
Metan Babu,5,Metan Banajho,2025-09-13 10.58.36
Ros Mawati,5,vidio tik tok tolong aktifkan,2025-09-13 00.44.01
Decha Firewall Z,5,kenapa versi asia gaada tiktok shopnya?,2025-09-12 18.50.50
Edvino Moreira Ferreira,1,edhy,2025-09-12 11.33.12
Mawar Merah,4,oke thnk,2025-09-12 06.48.12
Ken Ximenes,5,baguss,2025-09-11 14.14.44
Bytha Bytha,1,Bytha😘,2025-09-11 12.18.23
Sisuk Ecko,5,bagus sekali,2025-09-11 02.47.54
Francisco Boro,5,madefacar,2025-09-10 07.55.22
Luis Nougeira,5,saya suka aplikasi ini,2025-09-10 00.37.24
Anay Svn,5,saya sangat suka,2025-09-09 18.34.22
Antao Unimok,4,Keren keren,2025-09-09 14.12.28
Manesl santos Manel,5,Manual santos Manel,2025-09-09 01.15.07
Albino Costa,5,good,2025-09-08 16.03.18
folvio Carvalho,5,mantap,2025-09-08 15.31.18
Taniri,5,ok.,2025-09-08 05.59.01
Junior Teixeirapinto,3,Timor oecusse Tono Quiumina,2025-09-08 01.07.52
Bintang Fizy,4,bagus si tapi ngeleg,2025-09-08 00.21.50
Erma Yana,5,sangat bangus,2025-09-07 15.08.13
Nana heldian,5,Aplikasi ini juga banyak ngebantu para Afiliate untuk mendapat kan cuan ..semoga ku bisa mendapatkan cuan dari Tik tok,2025-09-07 10.48.01
Santo Alamsolokfood,5,mntap,2025-09-07 09.56.10
Maria de Fatima E Costa,5,versi resmi,2025-09-05 21.51.13
Cinta Kasikasi,5,sangat bagus,2025-09-05 10.09.10
Leao Parada,5,god app,2025-09-05 00.28.50
Muhammaddaniall,1,matiin live ye,2025-09-04 02.53.58
Mustafidah tarmidi Tarmidi,1,lemot,2025-09-03 19.16.39
bunda Salwa,5,ok,2025-09-03 17.12.10
ARIF KEMBIRI,1,Tambahkan fitur percepatan 3x dan 4x,2025-09-03 15.06.51
Aden Almaazmi,1,gak bisa masukin tanggal lahir alasan nya katanya si maaf anda Tidak memenuhi syarat,2025-09-03 07.55.06
Sahrul Mase,1,tidak bisa nonton mala muter²,2025-09-03 05.55.10
تىي تلب,4,Yayah anak banten8 sahriyah,2025-09-03 05.43.25
Rachel Rachel,5,aplikasi yang sangat bagus tapi knp aku selalu memposting video udah ku mengikuti peraturan knp hanya sedikit yang nonton gak kayak dulu 🥲,2025-09-02 23.37.00
ahyar Video,1,"yang punya tiktok, tidak punya pendirian, membela koruptor,,😈",2025-09-02 20.59.12
Sri Defy,1,fitul like hilang respek kami juga hilang,2025-09-02 20.55.16
sugeng aov,1,heheheheheh,2025-09-02 17.50.02
Arip Hidayat,5,👍👍👍👍👍,2025-09-02 15.18.00
Rendy Muhamad,1,🫢🫢🫢🫢,2025-09-02 12.49.51
Fredy Cardoso,5,bagus banget,2025-09-02 10.45.45
Kurotul Aini2004,1,sumpah Gedeg banget gua SM ni tiktok yang lain update vidio yang sama g kenak pelanggaran lah gua kenak pelanggaran dan ad beberapa komentar orang yang bisa menimbulkan pertengkaran tidak kenak pelanggaran sedangkan gua sudah berkomentar dengan bijak pun tetap kenak pelanggaran dasar tiktok gaje,2025-09-02 10.29.35
Koko Brenda,1,tiktok makin hari makin rusak aja.,2025-09-02 10.03.01
BAY17,1,kembalikan vitur live,2025-09-02 08.05.40
Baaraka Store,1,"live tiktok ga bisaaa, bantu rating satu biar kapok !",2025-09-02 07.38.20
Bintang Mandiri 99,1,"tidak bisa live,Wil INA",2025-09-02 07.25.15
Soni wibowo,1,"udh GK bisa live, males",2025-09-02 06.26.37
Egy Wahyuda,1,JELEK BANGET ANJG MENDING DONWLOAD SNACK VIDIO,2025-09-02 05.52.50
Muh. Faisal,1,Fitur live nya mana,2025-09-02 05.30.48
Texsas Julak,1,"dampaknya kekita juga,,,sitttt",2025-09-02 04.26.37
Dian Prasetyo,1,gaseru,2025-09-02 03.47.23
Pengguna Google,1,apk tololl,2025-09-02 03.00.56
arya kamadanu,1,kenapa hilang fitur live nya,2025-09-02 02.17.00
EDUS Official,1,kualitas jelek,2025-09-02 02.09.03
eca dili saputri,1,BUKA FITUR LIVE NYA YA MEKK,2025-09-02 00.16.57
Sukirman Kirman,5,mantap,2025-09-01 22.50.02
Si Fix,1,gampang di bungkam pemerintah Indonesia,2025-09-01 21.28.47
Sekar Davira,1,"Saran dari sya,tolong MB nya dikurangkan",2025-09-01 19.52.48
Udin 41,1,revolusi,2025-09-01 19.31.49
Rahmanda Dwika Gusti Ardiansyah,1,najis,2025-09-01 18.12.14
Sumaya A,1,ga bisa live,2025-09-01 16.45.57
Acep Sutrisno,1,Tik Tok tidak profesional dan tidak mempertahankan konsep dari promosi agar pelayanan konsumen merasa puas,2025-09-01 16.29.45
Alianca Rego,5,Apk bagus,2025-09-01 15.54.23
Muhamad Alip,1,tiktok wilayah indonsia,2025-09-01 15.49.51
TOTO,5,sangat bagus dan sangat menghibur.,2025-09-01 15.01.53
Faridy Salman,1,"ikut campur urusan orang lain, peanut gak bisa live",2025-09-01 14.26.58
Alfiardana 12,1,jelek,2025-09-01 13.56.21
Doni Kust,1,"tidak bisa live, lemot kadang suka nutup sendiri app nya.",2025-09-01 13.22.49
iip musonip650,1,live di hps,2025-09-01 13.12.57
Ummy Kayla,1,GK respeck,2025-09-01 12.01.04
Sulaiman official (Emong),1,fitur live hilang di wilayah Indonesia 🙏,2025-09-01 11.54.42
Rennofan Aprilliano,1,ga bisa live,2025-09-01 11.54.33
Sarjianti Maia,5,keren,2025-09-01 11.47.35
Unwan Faziadi,1,tiktok dibayar berapa sih sampe filtur live ditutup,2025-09-01 11.13.17
ARIF GAMING,1,Tiktok Terindikasi Ikut Membungkam Rakyat...Aplikasi Penakut Tidak layak masuk Indonesia,2025-09-01 09.45.34
Mbie Fitria,5,membantu menemukan kluarga saya yang lama tak kunjung bertemu,2025-09-01 09.13.42
rynFrmnSyh,1,tidak bisa live,2025-09-01 09.12.48
syamsul Majid,1,kurang puas,2025-09-01 09.11.05
Akbar Alpiansah,1,fitur live hilang di indonesia,2025-09-01 08.45.12
Ahmad Sholeh,1,akses live di blokir di indonesia,2025-09-01 08.18.58
Hayati,1,tidak bisa live,2025-09-01 08.15.26
Zulfikar M,1,gak bisa live,2025-09-01 08.13.17
Yuli N,1,👍👍👍👍👍,2025-09-01 07.42.58
Zaenudin Zm,1,saya tida bisa live,2025-09-01 07.11.10
onomotua mado hia,1,hanya gara2 demo knp live akan di hilang kan,2025-09-01 06.57.55
Dendy Afriandi,1,lol mau aja di atur pemrintah,2025-09-01 06.37.16
Boedixx Orion,1,kenapa menu live streaming tidak bisa dibuka,2025-09-01 06.32.57
Lingling Cat,1,KACUNG PEMERINTAH,2025-09-01 06.32.40
Maz Mus,1,tik tok tidak bisa live lagi . di bayar pemeritah,2025-09-01 06.13.31
Suno Ngah,1,fitur live tiktok dihapus sepihak,2025-09-01 05.43.32
M. Reza Kurniawan,1,live tiktok tidak ada,2025-09-01 05.25.38
Aldy Ananda,1,aktifkan fitur live di indonesia,2025-09-01 05.24.07
R BD,1,apk busuk gada live,2025-09-01 05.23.28
Yeyen Shaqa,1,aplikasi bg sattttt tidak bisa live,2025-09-01 04.58.38
BarBaQue,1,fitur livenya malah dihapus.gajelas,2025-09-01 04.42.09
Zhusqi Dilaga,1,Males Pro DPR dengan nonaktifkan live di Indonesia. membukam media.,2025-09-01 04.12.14
supriyantoro,1,ga berimabang,2025-09-01 04.10.39
Silfa MakeUp,1,kembalikan live,2025-09-01 04.01.15
Mudifir,1,SAYA BARU PASANG APLIKASI INI TERNYATA TIDAK BISA LIVE APLIKASI SAMPAH,2025-09-01 02.26.31
Tony Simbolon,1,kacung pemerintah,2025-09-01 02.02.11
Ahmad Zainuri,1,buruk tiktok,2025-09-01 01.42.45
buyuang caruak,1,tiktok berpihak ke pemerintah,2025-09-01 01.11.17
mas luqem,1,sampah,2025-09-01 00.14.44
AZPedia Store,1,apk dongo,2025-08-31 23.11.56
Edi Pramono,1,knapa sering keluar sendiri waktu buka,2025-08-31 22.58.13
Marisha Marisha,1,Berpihak pada yang berhak dibela emang kadang terlihat gak se menarik dan se untung berpihak pada yang salah.. tapi boleh lah ya bijak sikit🙃,2025-08-31 22.26.41
file Pebri,1,"pengecut, pembela yg salah, live hilang",2025-08-31 21.47.44
